classes	fitness	bias_r	bias_z	bias_h	weight_xr	weight_xz	weight_xh	weight_hr	weight_hz	weight_hh	bias_rw	conn0	conn1	conn2
PP	1.0	1.37953	1.28459	-1.31854	0.66806	1.08832	1.14685	1.33892	-1.65224	-1.76715	2.4208	4.51276	3.97568	-5.0417
PN	1.0	3.0	-0.11304	-1.67358	-0.6973	0.28483	-1.19939	-0.79937	-3.13563	-2.15803	-2.55719	3.37817	-6.0	-3.69884
PN	1.0	3.0	-0.11304	-1.67358	-0.40947	0.28483	-1.19939	-0.79937	-3.13563	-2.15803	-2.55719	3.37817	-6.0	-3.69884
PN	1.0	3.0	-0.16196	-1.67358	-0.70122	-0.23173	-1.19939	-4.15189	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.11304	-1.67358	-0.2992	0.28483	-1.19939	0.4385	-2.96729	-2.15803	-2.55719	3.37817	-6.0	-3.69884
PN	1.0	3.0	-0.16196	-1.67358	1.15808	-0.00521	-1.34471	-4.15189	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-4.52545
PN	1.0	2.56853	-0.11304	-1.67358	-0.40947	0.28483	-1.19939	-0.79937	-3.13563	-2.15803	-2.55719	3.37817	-6.0	-3.69884
PN	1.0	2.80562	-0.16196	-1.67358	-0.70122	-0.22656	-1.19939	-4.27623	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.11304	-1.67358	-0.23277	0.28483	-1.19939	-0.79937	-3.13563	-2.15803	-2.55719	3.37817	-6.0	-3.69884
PN	1.0	2.89252	-0.16196	-1.67358	-0.70122	-0.2057	-1.19939	-4.27623	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.11304	-1.67358	0.14427	0.24472	-1.21093	0.23786	-2.96729	-2.15803	-2.55719	3.37817	-6.0	-3.69884
PN	1.0	2.74056	-0.16196	-1.67358	-0.70122	-0.01575	-1.19939	-3.98201	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.80671
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.34563	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.06388	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.22605	-1.19939	-4.34563	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-0.70122	-0.01575	-1.19939	-3.98201	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.86559
PN	1.0	2.89252	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.28408	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-0.70122	-0.00521	-1.19939	-0.12828	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.31614	-0.18202	-1.19939	-4.28408	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	2.29451	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.34563	-3.52423	-2.19998	-2.56279	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.55326	-0.18202	-1.19939	-4.28408	-3.45814	-2.19998	-2.5082	3.37817	-6.0	-3.96341
PN	1.0	3.0	-0.16196	-1.67358	-3.31614	-0.2057	-1.19939	-4.34563	-3.52423	-2.19998	-2.5082	3.37817	-6.0	-3.96341
